nom-entr;adr-entr;code-postal;ville;secteur;nom-resp;prenom-resp;email-resp
AASQA;zone d'activite e-parc;78000;VERSAILLES;Services;Shankara;Adi;Adi@aasqa.com
ACBUS;zi paris nord 2;33610;CESTAS;Editeur de logiciel;Bachelin;LÈo;Leo@acbus.com
ACCRE;zi marticot;47400;TONNEINS;Jeux video;Ceillier;Dom;Dom@accre.com
ACEPP;zi du phare;34000;MONTPELLIER;Services;Pierre;AbbÈ;Abbe@acepp.com
ACORS;zae route de casseneuil;33200;BORDEAUX;Industrie;d'Abundance;Jean;Jean@acors.com
ACOSS;zac de la berangerais;33000;BORDEAUX;SSII;Achard;Paul;Paul@acoss.com
ACTIF;za pic pyrÈnÈes innovation;33000;BORDEAUX;SSII;Acker;Paul;Paul@actif.com
ADAPT;za d'issac bp 88;33610;CANEJAN;SSII;Ackermann;Paul;Paul@adapt.com
ADELF;za de la gardette;33000;BORDEAUX;Services;de la Halle;Adam;Adam@adelf.com
ADELI;2 rue bonnin;33000;BORDEAUX;SSII;Adam;Paul;Paul@adeli.com
ADEME;14 allee des camÈlias;33000;BORDEAUX;Industrie;Adams;John;John@ademe.com
ADEMN;tour europa;33000;BORDEAUX;DÈveloppement Web;AguÈli;Ivan;Ivan@ademn.com
ADESM;technopole izarbel;33608;PESSAC;Industrie;Aicard;Jean;Jean@adesm.com
ADRET;site technologique de marticot;40280;ST PIERRE DU MONT;Industrie;Ajalbert;Jean;Jean@adret.com
ADRIC;site montesquieu;33850;LEOGNAN;SSII;Albert;Paul;Paul@adric.com
ADSEA;site des terres neuves, bat. 51;33170;GRADIGNAN;Editeur de logiciel;Battista Alberti;Leon;Leon@adsea.com
AEMMM;site de marticot;47210;VILLEREAL;Industrie;le Rond d'Alembert;Jean;Jean@aemmm.com
AEMTC;rue ronsard;40280;ST PIERRE DU MONT;SSII;Alexis;Paul;Paul@aemtc.com
AERAS;rue du gÈnÈral niox;31060;TOULOUSE;Industrie;Allemane;Jean;Jean@aeras.com
AERES;rue d'epagnac;33000;BORDEAUX;SSII;Allut;Paul;Paul@aeres.com
AFDOC;rue de l'hermite bp70081;91000;EVRY;Constructeur;Amanieux;Marc;Marc@afdoc.com
