nom-etd;prenom-etd;email-etd
Abbadie;Jacques;jacques.abbadie@u-bordeaux.fr
Abeille;Gaspard;gaspard.abeille@u-bordeaux.fr
Abeille;Louis-Paul;louis-paul.abeille@u-bordeaux.fr
Abgrall;François;françois.abgrall@u-bordeaux.fr
Abu Qurrah;Theodore;theodore.abu-qurrah@u-bordeaux.fr
Achille Bazaine;François;françois.achille-bazaine@u-bordeaux.fr
Ackermann;Louise-Victorine;louise-victorine.ackermann@u-bordeaux.fr
Acremant;Germaine;germaine.acremant@u-bordeaux.fr
Adam;Adolphe;adolphe.adam@u-bordeaux.fr
Adam;Charles;charles.adam@u-bordeaux.fr
Adam;François-etienne;françois-etienne.adam@u-bordeaux.fr
Adam;Juliette;juliette.adam@u-bordeaux.fr
Adelon;Nicolas-Philibert;nicolas-philibert.adelon@u-bordeaux.fr
Ader;Guilhem;guilhem.ader@u-bordeaux.fr
Aderer;Adolphe;adolphe.aderer@u-bordeaux.fr
Aignan;etienne;etienne.aignan@u-bordeaux.fr
Aimard;Gustave;gustave.aimard@u-bordeaux.fr
Aïsse;Charlotte;charlotte.aïsse@u-bordeaux.fr
Alary;François;françois.alary@u-bordeaux.fr
Albalat;Antoine;
Albert;Maurice;maurice.albert@u-bordeaux.fr
Alcoforado;Mariana;mariana.alcoforado@u-bordeaux.fr
Aleramo;Sibilla;sibilla.aleramo@u-bordeaux.fr
Alexis;Guillaume;guillaume.alexis@u-bordeaux.fr
Alfieri;Vittorio;vittorio.alfieri@u-bordeaux.fr
Alfred Alexandre;Charles;charles.alfred-alexandre@u-bordeaux.fr
Alhoy;Maurice;maurice.alhoy@u-bordeaux.fr
Alibert;François-Paul;françois-paul.alibert@u-bordeaux.fr
Allaire;etienne;etienne.allaire@u-bordeaux.fr
Allais;Alphonse;alphonse.allais@u-bordeaux.fr
Allais;Gustave;gustave.allais@u-bordeaux.fr
Allart de Therase;Hortense;hortense.allart-de-therase@u-bordeaux.fr
Allem;Maurice;maurice.allem@u-bordeaux.fr
Alletz;edouard;edouard.alletz@u-bordeaux.fr
Alletz;Pons-Augustin;pons-augustin.alletz@u-bordeaux.fr
Allingham;William;william.allingham@u-bordeaux.fr
Allut;Antoine;antoine.allut@u-bordeaux.fr
Amar Du Rivier;Jean-Augustin;jean-augustin.amar-du-rivier@u-bordeaux.fr
