nom-entr;nom-resp;prenom-resp;email-resp;nom-etd;prenom-etd;titre;annee-univ;debut;fin;surnom
ACBUS;De Ligt;Barthelemy;barthelemy@acbus.com;Amyot;Jacques;Realisation et mise en production d'un programme de sauvegarde automatique des postes clients confie au service reparation de l'entreprise.;2010-2011;04/04/2011;10/06/2011;MBa
ACOSS;Regnier;Adolphe;adolphe@acoss.com;Carducci;Giosue;Creation d'un logiciel de gestion de magasin.L'ergonomie et les normes seront calquees sur AB-DepªtVente seront une priorite.;2010-2011;04/04/2011;10/06/2011;MBi
ACTIF;Darboux;Gaston;gaston@actif.com;Carlyle;Thomas;Etude pour la mise en oeuvre d'une CMDB (Configuration Management DataBase) de la norme ITIL;2010-2011;04/04/2011;10/06/2011;RB
ADAPT;Darboy;Georges;georges@adapt.com;Carmille;Robert;Programmation d'un jeu iphone/android sous Cocos2D-X en C++;2010-2011;04/04/2011;10/06/2011;BC
ADELI;Nelson Darby;John;john@adeli.com;Carmouche;Pierre;Accomplir toutes les t‚ches permettant la rÈalisation technique d'un site internet.;2010-2011;04/04/2011;10/06/2011;AC
ADEME;Darcy;Eugene;eugene@ademe.com;Carnegie;Andrew;Realisation d'un logiciel open source (oriente web);2010-2011;04/04/2011;10/06/2011;LC
ADEMN;Darien;Georges;georges@ademn.com;de Castellane;Pierre;Creation et gestion dynamique d'un site Internet;2010-2011;04/04/2011;10/06/2011;SD
ADESM;Darko;Jeno;jeno@adesm.com;de Castelnau;Michel;Production d'un site Internet d'entreprise, allant de l'analyse ‡ la mise en ligne.;2010-2011;04/04/2011;10/06/2011;ID
ADRET;Darmesteter;Arsene;arsene@adret.com;Cavaignac;Eugene;Developpements sur extranet et intranet professionnels;2010-2011;04/04/2011;10/06/2011;PF
ADRIC;Darmesteter;James;james@adric.com;de Cazales;Edmond;A definir;2010-2011;04/04/2011;10/06/2011;SFo
AEMTC;Daubenton;Pierre;pierre@aemtc.com;Chabot;Adrien;Mise en oeuvre et realisation d'outils de gestion collaborative en environnement client/serveur;2010-2011;04/04/2011;10/06/2011;OGa
AERAS;Daudet;Ernest;ernest@aeras.com;Abbadie;Jacques;Prise en main des techniques recentes de programmation des applications internet. Confrontation ‡ la gestion de projet industrielle. Integre ‡ une equipe R/D, etude et developpements (Ajax, Php5 objet, XML) sous environnement professionnel de plusieurs composants logiciels mobilisant des techniques differentes et nourris par les donnees et autres composants d'une plateforme.;2010-2011;04/04/2011;10/06/2011;RG
